time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-11-08T14:30:00.656Z,15.3017,120.8424,168.534,5.2,mww,88,104,7.48,0.53,us,us7000inah,2022-11-09T14:33:42.291Z,"1 km WSW of Santa Cruz, Philippines",earthquake,9.76,6.24,0.055,32,reviewed,us,us
2022-10-25T14:59:01.344Z,17.6634,120.8142,13.79,6.4,mww,124,25,5.134,0.48,us,us6000iwds,2022-11-03T12:06:26.045Z,"",earthquake,5.67,2.778,0.055,32,reviewed,us,us
2022-08-27T18:27:36.197Z,17.2931,120.7624,20.398,5.2,mww,169,36,5.504,0.71,us,us7000i2ye,2022-11-06T04:39:17.040Z,"",earthquake,9.12,3.587,0.063,24,reviewed,us,us
2022-07-31T18:48:10.312Z,17.292,120.7158,10,5.1,mww,74,109,5.508,0.75,us,us6000i70q,2022-10-12T14:49:20.040Z,"13 km S of San Ramon, Philippines",earthquake,4.36,1.865,0.066,22,reviewed,us,us
2022-07-31T05:49:59.501Z,17.6548,120.7067,10,5,mb,109,117,5.148,0.57,us,us6000i6ww,2022-10-12T14:49:07.040Z,"0 km NNW of Dolores, Philippines",earthquake,8.21,1.709,0.042,186,reviewed,us,us
2022-07-27T20:02:40.169Z,17.3065,120.9854,10,5,mb,72,73,5.484,1.15,us,us6000i60g,2022-10-01T22:09:24.040Z,"17 km WSW of Pasil, Philippines",earthquake,9.53,1.835,0.057,97,reviewed,us,us
2022-07-27T09:04:18.890Z,16.286,123.0881,10,5,mb,78,124,6.768,0.68,us,us6000i5v6,2022-10-01T22:09:23.040Z,"Philippine Islands region",earthquake,11.05,1.915,0.071,63,reviewed,us,us
2022-07-27T07:38:21.801Z,17.3806,120.804,10,5.2,mb,104,60,5.415,0.6,us,us6000i5us,2022-10-01T22:09:23.040Z,"8 km SE of Bantay, Philippines",earthquake,8.51,1.767,0.048,143,reviewed,us,us
2022-07-27T00:43:26.871Z,17.5207,120.8181,33.729,7,mww,152,22,5.276,0.6,us,us6000i5rd,2022-11-03T12:11:55.060Z,"11 km NE of Bantay, Philippines",earthquake,7.93,2.766,0.044,50,reviewed,us,us
2022-06-16T06:08:53.556Z,17.1257,119.9561,23.7,5.2,mww,164,60,5.76,0.58,us,us7000hhqh,2022-08-21T00:17:49.040Z,"49 km W of Darapidap, Philippines",earthquake,7.5,3.4,0.078,16,reviewed,us,us
2022-05-21T21:50:48.047Z,14.0187,120.6494,129,6.1,mww,270,11,8.435,1.04,us,us6000hmz8,2022-08-02T19:50:38.040Z,"1 km S of Lian, Philippines",earthquake,8.7,1.8,0.033,90,reviewed,us,us
2022-03-29T16:27:15.030Z,14.1022,119.2926,10,5,mww,,95,8.833,0.71,us,us7000gy5c,2022-06-04T20:42:19.040Z,"85 km WNW of Cabra, Philippines",earthquake,7,1.8,0.052,35,reviewed,us,us
2022-03-16T00:09:30.323Z,14.1384,119.2961,10,5.2,mww,,73,8.797,0.93,us,us6000h4wn,2022-05-27T14:55:28.040Z,"85 km WNW of Cabra, Philippines",earthquake,6.8,1.4,0.069,20,reviewed,us,us
2022-03-15T18:15:49.383Z,14.0082,119.4751,9.94,5,mb,,72,8.893,0.99,us,us6000h4ss,2022-05-27T14:55:27.040Z,"63 km WNW of Cabra, Philippines",earthquake,8,3.7,0.043,182,reviewed,us,us
2022-03-15T08:05:20.632Z,14.128,119.3606,10,5,mww,,69,8.795,0.88,us,us6000h4n2,2022-05-27T14:55:25.040Z,"78 km WNW of Cabra, Philippines",earthquake,7.7,1.8,0.06,27,reviewed,us,us
2022-03-14T15:22:53.896Z,14.1312,119.5165,10,5,mb,,102,8.766,0.41,us,us6000h4g3,2022-05-27T14:55:24.040Z,"Luzon, Philippines",earthquake,9.8,1.9,0.052,124,reviewed,us,us
2022-03-14T14:40:47.749Z,14.1448,119.334,10,5.2,mww,,76,8.783,0.68,us,us6000h4fu,2022-05-27T14:55:24.040Z,"82 km WNW of Cabra, Philippines",earthquake,8.1,1.8,0.047,44,reviewed,us,us
2022-03-13T21:27:18.243Z,14.0971,119.3799,10,5,mb,,126,20.088,0.38,us,us6000h5h0,2022-05-27T14:55:33.040Z,"75 km WNW of Cabra, Philippines",earthquake,13.8,1.9,0.107,28,reviewed,us,us
2022-03-13T21:25:22.404Z,14.0839,119.4375,10,5.1,mb,,124,20.145,0.43,us,us6000h5gz,2022-05-27T14:55:33.040Z,"69 km WNW of Cabra, Philippines",earthquake,14.1,1.9,0.124,21,reviewed,us,us
2022-03-13T21:05:49.469Z,14.096,119.3811,11,6.4,mww,,28,8.823,0.88,us,us6000h48d,2022-05-27T14:55:19.040Z,"75 km WNW of Cabra, Philippines",earthquake,6.7,1.7,0.033,87,reviewed,us,us
2022-02-21T07:22:18.887Z,13.6021,120.8739,139.31,5.3,mww,,109,7.971,0.33,us,us7000gmkz,2022-05-04T13:39:12.040Z,"6 km S of Tingloy, Philippines",earthquake,8.6,5.2,0.05,38,reviewed,us,us
2022-01-30T00:17:12.896Z,15.6262,118.237,10,5.3,mww,,70,7.64,0.78,us,us7000ggb9,2022-04-15T17:57:04.040Z,"167 km WSW of Ilioilio, Philippines",earthquake,4.5,1.7,0.049,40,reviewed,us,us
2021-12-13T09:12:33.433Z,13.6205,120.7577,133.39,5.5,mww,,32,8.68,0.72,us,us6000gbu7,2022-02-24T21:00:29.040Z,"Mindoro, Philippines",earthquake,9,3.9,0.037,69,reviewed,us,us
2021-10-07T18:14:54.009Z,13.9389,120.6866,160.14,5.3,mww,,44,8.349,1.17,us,us6000fsrb,2021-12-10T21:14:20.040Z,"2 km E of Bungahan, Philippines",earthquake,8.5,4.4,0.052,35,reviewed,us,us
2021-10-02T21:59:26.680Z,12.8716,120.9142,8.72,5.4,mww,,65,7.371,0.56,us,us6000fr6u,2021-12-10T21:14:03.040Z,"11 km NE of Tuban, Philippines",earthquake,7.8,4,0.055,32,reviewed,us,us
2021-09-26T17:12:05.243Z,13.8941,120.5097,83,5.7,mww,,21,8.415,1.24,us,us7000fen1,2021-12-04T14:29:47.040Z,"12 km W of Talisay, Philippines",earthquake,8.2,1.9,0.036,73,reviewed,us,us
2021-08-13T15:08:31.218Z,13.7016,120.7817,121,5.9,mww,,26,9.071,1.09,us,us6000f5na,2021-10-29T14:46:07.040Z,"10 km WNW of Tingloy, Philippines",earthquake,9.7,1.9,0.034,84,reviewed,us,us
2021-07-23T20:57:18.713Z,13.7977,120.7434,120.58,5.8,mww,,19,8.203,0.84,us,us6000eyfn,2021-10-03T05:21:29.040Z,"6 km SE of Hukay, Philippines",earthquake,6.5,3,0.089,12,reviewed,us,us
2021-07-23T20:48:57.357Z,13.7047,120.7259,110,6.7,mww,,12,8.139,0.98,us,us6000eyfk,2021-12-07T15:21:27.547Z,"15 km S of Hukay, Philippines",earthquake,7.2,1.8,0.051,37,reviewed,us,us
2021-05-23T04:41:33.051Z,14.7572,119.3391,10,5.1,mww,,33,8.185,1,us,us7000e5fq,2021-09-01T12:08:24.037Z,"82 km WSW of San Nicolas, Philippines",earthquake,7.3,1.7,0.069,20,reviewed,us,us
2021-05-12T01:09:27.067Z,13.5716,120.8478,113,5.8,mww,,14,7.962,1.04,us,us7000e28e,2021-07-23T18:08:33.040Z,"10 km SSW of Tingloy, Philippines",earthquake,7.6,1.8,0.039,63,reviewed,us,us
2021-03-11T07:24:36.994Z,15.609,119.4352,10,5,mww,,86,7.337,0.52,us,us7000di2e,2021-05-21T19:49:24.040Z,"49 km WSW of Bolitoc, Philippines",earthquake,7.5,1.8,0.063,24,reviewed,us,us
2021-02-25T02:55:30.556Z,15.99,119.5896,10,5,mb,,107,6.935,0.83,us,us7000ddh3,2021-05-04T14:17:07.040Z,"19 km W of Ilioilio, Philippines",earthquake,10,1.8,0.083,46,reviewed,us,us
2021-02-08T23:24:39.901Z,11.9604,120.7767,10,5,mww,,32,6.785,0.73,us,us6000dfr7,2021-04-22T21:51:44.040Z,"48 km SW of Santa Teresa, Philippines",earthquake,7.6,1.8,0.093,11,reviewed,us,us
2021-02-04T22:00:43.301Z,14.5452,122.976,10,5.1,mww,,72,7.856,0.75,us,us6000dein,2021-04-16T19:03:31.040Z,"35 km NE of Paracale, Philippines",earthquake,7.4,1.8,0.065,23,reviewed,us,us
2021-02-04T07:48:10.728Z,14.632,118.7945,10,5.2,mww,,91,8.424,0.45,us,us6000dedr,2021-04-16T19:03:25.040Z,"142 km WSW of San Nicolas, Philippines",earthquake,7.5,1.8,0.063,24,reviewed,us,us
2021-01-29T05:12:23.257Z,13.4978,120.5059,43.3,5,mb,,58,9.285,0.76,us,us6000dctk,2021-04-16T19:02:11.040Z,"9 km NE of Harrison, Philippines",earthquake,9.5,7.9,0.084,45,reviewed,us,us
2020-12-25T10:04:34.286Z,13.2955,122.3301,10,5.4,mww,,30,4.602,0.46,us,us6000d2wq,2021-03-06T23:18:44.040Z,"20 km W of Silongin, Philippines",earthquake,7.6,1.8,0.055,32,reviewed,us,us
2020-12-24T23:43:41.964Z,13.82,120.6539,109,6.3,mww,,15,3.715,0.75,us,us6000d2ra,2022-03-10T05:50:52.505Z,"2 km ESE of Calatagan, Philippines",earthquake,5.8,1.8,0.032,92,reviewed,us,us
2020-10-16T20:06:27.481Z,13.6785,120.2608,62.32,5.4,mww,,28,3.855,0.76,us,us6000c8v2,2020-12-29T23:07:28.040Z,"4 km SSE of Looc, Philippines",earthquake,6.3,4.5,0.069,20,reviewed,us,us
2020-10-04T18:16:53.824Z,13.6082,120.7526,121,5.6,mww,,25,3.931,0.89,us,us6000c5i4,2020-12-12T22:28:39.040Z,"14 km WSW of Tingloy, Philippines",earthquake,7.6,1.9,0.038,67,reviewed,us,us
2020-06-22T08:02:44.092Z,17.2384,119.8753,10,5,mww,,83,3.281,0.79,us,us6000agb9,2022-03-18T11:22:31.491Z,"57 km W of Darapidap, Philippines",earthquake,7.5,1.8,0.069,20,reviewed,us,us
2020-06-05T13:38:02.886Z,12.7147,120.9623,44.32,5.3,mww,,67,7.22,0.83,us,us6000a6ih,2020-08-18T17:58:53.040Z,"9 km NE of Banos, Philippines",earthquake,3.3,6.2,0.062,25,reviewed,us,us
2020-05-28T05:17:29.548Z,16.6027,120.3749,77.46,5.1,mww,,105,6.218,0.54,us,us6000a0t7,2020-08-15T20:19:41.040Z,"6 km ESE of San Fernando, Philippines",earthquake,9.3,5.2,0.062,25,reviewed,us,us
2020-05-23T02:10:27.512Z,15.6287,121.5658,43.46,5.2,mww,,105,1.635,0.98,us,us70009nx5,2020-08-08T18:17:52.040Z,"14 km S of Suklayin, Philippines",earthquake,7.8,6,0.093,11,reviewed,us,us
2020-05-09T19:18:13.024Z,14.0741,120.4703,99.16,5.3,mww,,30,0.453,0.79,us,us70009dg1,2020-12-21T20:45:25.326Z,"17 km WNW of San Diego, Philippines",earthquake,6.7,3.7,0.045,48,reviewed,us,us
2020-03-19T20:08:22.670Z,14.5105,124.0645,22.5,5,mww,,64,3.059,0.88,us,us70008cgc,2020-06-06T20:53:54.040Z,"52 km NNW of Pandan, Philippines",earthquake,6.9,2.1,0.078,16,reviewed,us,us
2020-03-12T22:00:48.085Z,14.7161,119.0784,10,5.3,mww,,28,1.901,0.78,us,us60008epc,2020-05-30T22:17:04.040Z,"110 km WSW of San Nicolas, Philippines",earthquake,6.3,1.7,0.049,40,reviewed,us,us
2020-02-26T00:23:32.809Z,15.8708,119.2231,10,5,mb,,100,2.415,0.75,us,us600084cv,2020-05-19T22:13:55.040Z,"58 km W of Ilioilio, Philippines",earthquake,3,1.8,0.042,183,reviewed,us,us
2019-11-06T20:52:54.686Z,14.8741,122.7951,6.6,5.6,mww,,30,1.956,1.23,us,us7000645k,2020-02-01T23:21:42.040Z,"48 km ENE of Casuguran, Philippines",earthquake,7.1,3.9,0.052,36,reviewed,us,us
2019-09-13T08:28:17.051Z,15.053,122.2746,48.13,5.3,mww,,56,1.603,0.84,us,us70005fry,2021-09-01T04:33:36.342Z,"26 km ENE of Karligan, Philippines",earthquake,7.7,1.5,0.057,30,reviewed,us,us
2019-09-09T17:17:07.887Z,13.5027,120.9428,192.32,5,mww,,79,0.596,1.06,us,us70005dqu,2019-11-30T19:36:34.040Z,"0 km W of Puerto Galera, Philippines",earthquake,8.2,2.8,0.073,18,reviewed,us,us
2019-05-04T01:05:09.527Z,12.3713,120.9321,10,5.7,mww,,88,1.72,1.39,us,us70003gig,2020-07-10T17:40:06.115Z,"8 km SW of San Agustin, Philippines",earthquake,6.4,1.7,0.041,56,reviewed,us,us
2019-04-22T09:11:12.013Z,14.9538,120.5149,21.84,6.1,mww,,20,0.94,1.01,us,us70003a63,2021-04-01T21:05:31.352Z,"3 km WSW of San Francisco, Philippines",earthquake,6.3,3.7,0.035,77,reviewed,us,us
2019-03-16T09:58:19.127Z,13.5638,120.87,118.55,5.4,mww,,45,0.539,0.72,us,us1000jh0j,2022-08-08T13:01:17.210Z,"9 km NW of Balatero, Philippines",earthquake,8,4,0.038,66,reviewed,us,us
2019-02-06T10:25:20.540Z,15.858,120.6186,130.2,5.5,mww,,72,1.772,0.9,us,us2000je43,2019-04-25T15:31:45.040Z,"1 km NNE of Guiling, Philippines",earthquake,6.7,3.5,0.037,71,reviewed,us,us
2018-08-31T14:40:27.470Z,13.5571,120.8426,116.3,5.5,mww,,34,8.641,0.92,us,us2000h5z6,2022-08-08T07:43:37.364Z,"9 km NNE of Odala, Philippines",earthquake,8.1,3.8,0.039,63,reviewed,us,us
2018-08-13T01:37:55.380Z,13.5433,120.1548,35,5,mb,,89,8.471,0.62,us,us1000gbgk,2018-10-27T16:22:04.040Z,"22 km SSW of Looc, Philippines",earthquake,11.8,2,0.091,38,reviewed,us,us
2018-07-03T04:25:53.430Z,14.0197,120.6404,126,5.2,mww,,27,8.441,0.83,us,us2000fvfq,2019-04-22T15:33:39.733Z,"1 km SSW of Lian, Philippines",earthquake,7.9,1.9,0.052,35,reviewed,us,us
2018-06-17T09:46:24.630Z,14.9212,119.7097,25,5.4,mww,,47,7.96,0.93,us,us1000etr8,2022-05-03T19:19:18.154Z,"Luzon, Philippines",earthquake,7.4,1.8,0.043,51,reviewed,us,us
2018-05-05T06:19:05.040Z,14.5708,123.9192,18,6.1,mww,,21,2.928,0.98,us,us1000dym9,2022-05-03T19:11:28.224Z,"64 km NNW of Pandan, Philippines",earthquake,4.4,1.8,0.055,32,reviewed,us,us
2018-04-15T19:43:56.660Z,17.8712,122.2684,46,5.1,mb,,86,5.046,1.12,us,us2000e0ms,2022-08-08T02:14:43.202Z,"38 km E of Awallan, Philippines",earthquake,8.2,7.1,0.038,220,reviewed,us,us
2018-01-20T19:56:02.510Z,17.085,120.0504,21.7,5,mb,,61,3.086,0.68,us,us2000clwt,2018-04-10T01:11:49.040Z,"41 km WSW of Calongbuyan, Philippines",earthquake,7.8,5.1,0.049,130,reviewed,us,us
2018-01-14T15:49:27.090Z,13.464,120.51,54.71,5.1,mb,,46,0.757,1.06,us,us2000cjii,2022-05-03T19:02:31.599Z,"7 km NE of Paluan, Philippines",earthquake,8.1,6.6,0.058,96,reviewed,us,us
2017-10-22T14:21:01.450Z,14.0002,120.7252,209.39,5.4,mww,,21,0.228,0.81,us,us1000avnl,2022-08-07T20:19:40.549Z,"0 km NNW of Putol, Philippines",earthquake,6.6,2.7,0.046,45,reviewed,us,us
2017-09-23T13:30:31.980Z,13.6372,120.8302,165.98,5,mb,,65,8.808,0.8,us,us2000atke,2022-08-07T18:24:40.774Z,"5 km WSW of Tingloy, Philippines",earthquake,9.8,5.6,0.053,112,reviewed,us,us
